1;Chorizo de cerdo, paq. x 400g;495.00
1;Morcilla al vacio, paq. x 1kg;619.00
1;Tapa de nalga Est.COTO x 1kg;969.90
1;Lomo Estancias Coto x 1kg;1399.00
2;Leche entera Coto x 1lt;116.35
2;Leche desc La Serenísima x 1lt;131.20
2;Yogur bebible Descr. La Serenísima x 1lt;152.00
3;Alfajores Sol Serrano Fruta 40gr;31.99
3;Pastillas DRF menta 23gr;22.15
3;Chicles Top Line Seven mandarina 14gr;81.99
4;Atun en aceite La Campagnola Lata 70gr;491.28
4;Durazno en mitades Copa de Oro 820gr;526.66
